2023-01-31 09:00:00,916.0,917.0,868.0,904.0,4582993.5051569,4076032104.5433984
2023-02-01 09:00:00,904.0,914.0,841.0,909.0,6350675.93953235,5555473133.176734
2023-02-02 09:00:00,912.0,978.0,898.0,963.0,23702059.43049041,22529806810.144447
2023-02-03 09:00:00,963.0,978.0,938.0,975.0,6797625.99164231,6484179297.450596
2023-02-04 09:00:00,975.0,997.0,958.0,997.0,4489802.35386671,4370200459.491108
2023-02-05 09:00:00,997.0,1250.0,909.0,999.0,57349446.21515684,61660466995.24729
2023-02-06 09:00:00,1000.0,1125.0,982.0,1025.0,23369813.00744605,24620639608.48908
2023-02-07 09:00:00,1025.0,1025.0,968.0,1020.0,4805948.66199114,4749672141.992906
2023-02-08 09:00:00,1015.0,1020.0,980.0,997.0,3064328.26638198,3059304421.448333
2023-02-09 09:00:00,997.0,1015.0,933.0,939.0,5344933.1400574,5241029367.768518
2023-02-10 09:00:00,939.0,995.0,910.0,953.0,5223803.38702457,4977179411.684042
2023-02-11 09:00:00,953.0,1005.0,937.0,997.0,8765198.66026725,8630263662.5668
2023-02-12 09:00:00,996.0,997.0,965.0,970.0,2272524.81688537,2224589697.9488764
2023-02-13 09:00:00,970.0,1015.0,910.0,937.0,9809141.98942243,9530028652.740433
2023-02-14 09:00:00,940.0,1035.0,934.0,1000.0,26721397.9976026,26363342146.627945
2023-02-15 09:00:00,1005.0,1080.0,985.0,1060.0,6883830.81006762,7021041110.180386
2023-02-16 09:00:00,1060.0,1090.0,1015.0,1030.0,7242169.40382432,7667651873.0341015
2023-02-17 09:00:00,1025.0,1080.0,1015.0,1075.0,4056481.64988132,4261433787.1449647
2023-02-18 09:00:00,1080.0,1095.0,1040.0,1075.0,3624408.01756959,3859969363.3966966
2023-02-19 09:00:00,1075.0,1145.0,1050.0,1135.0,6500646.40182939,7050709259.163676
2023-02-20 09:00:00,1135.0,1180.0,1095.0,1160.0,23565803.43604302,27042012973.326702
2023-02-21 09:00:00,1160.0,1175.0,1085.0,1115.0,7383886.83096334,8346621901.149878
2023-02-22 09:00:00,1115.0,1120.0,1055.0,1110.0,3844394.2208385,4179439056.185696
2023-02-23 09:00:00,1110.0,1130.0,1070.0,1125.0,2984731.48263638,3296574156.5523877
2023-02-24 09:00:00,1125.0,1175.0,1105.0,1170.0,7665493.7846324,8740746014.573372
2023-02-25 09:00:00,1170.0,1245.0,1105.0,1155.0,8905199.84614712,10479320627.834417
2023-02-26 09:00:00,1150.0,1150.0,1105.0,1130.0,2233772.05717169,2502639559.1646156
2023-02-27 09:00:00,1130.0,1135.0,1090.0,1120.0,2595645.68513616,2883472153.6946645
2023-02-28 09:00:00,1115.0,1140.0,1105.0,1110.0,712601.72915766,797543813.8206906
